"age group","county name","cases","deaths","hospitalization"
"01-04 years","Georgia","4344","1","92"
"05-09 years","Georgia","6475","1","67"
"10-17 years","Georgia","23029","5","297"
"18-29 years","Georgia","93534","59","2181"
"30-39 years","Georgia","61478","139","2897"
"40-49 years","Georgia","58436","313","4136"
"50-59 years","Georgia","54212","777","5870"
"60-69 years","Georgia","36658","1648","6647"
"70-79 years","Georgia","21351","2271","5759"
"80 & Older years","Georgia","13592","3047","4553"
"<1 years","Georgia","1335","0","79"
"Unknown years","Georgia","1610","3","53"
"01-04 years","Appling","15","0","0"
"05-09 years","Appling","35","0","0"
"10-17 years","Appling","99","0","1"
"18-29 years","Appling","226","0","4"
"30-39 years","Appling","174","1","5"
"40-49 years","Appling","166","2","12"
"50-59 years","Appling","185","6","17"
"60-69 years","Appling","149","8","30"
"70-79 years","Appling","100","11","22"
"80 & Older years","Appling","42","10","14"
"<1 years","Appling","3","0","0"
"Unknown years","Appling","3","0","0"
"01-04 years","Atkinson","3","0","1"
"05-09 years","Atkinson","11","0","1"
"10-17 years","Atkinson","24","0","0"
"18-29 years","Atkinson","109","0","7"
"30-39 years","Atkinson","87","0","6"
"40-49 years","Atkinson","87","0","11"
"50-59 years","Atkinson","85","1","14"
"60-69 years","Atkinson","51","3","14"
"70-79 years","Atkinson","27","1","7"
"80 & Older years","Atkinson","8","2","5"
"<1 years","Atkinson","2","0","0"
"01-04 years","Bacon","11","0","0"
"05-09 years","Bacon","13","0","0"
"10-17 years","Bacon","42","0","0"
"18-29 years","Bacon","164","0","1"
"30-39 years","Bacon","84","0","3"
"40-49 years","Bacon","109","1","7"
"50-59 years","Bacon","96","2","13"
"60-69 years","Bacon","61","5","12"
"70-79 years","Bacon","39","4","8"
"80 & Older years","Bacon","21","5","6"
"<1 years","Bacon","4","0","0"
"Unknown years","Bacon","1","0","0"
"01-04 years","Baker","4","0","0"
"05-09 years","Baker","4","0","0"
"10-17 years","Baker","5","0","0"
"18-29 years","Baker","16","0","0"
"30-39 years","Baker","11","0","2"
"40-49 years","Baker","10","0","1"
"50-59 years","Baker","15","0","1"
"60-69 years","Baker","18","2","6"
"70-79 years","Baker","12","2","8"
"80 & Older years","Baker","5","2","2"
"01-04 years","Baldwin","12","0","0"
"05-09 years","Baldwin","26","0","0"
"10-17 years","Baldwin","85","0","2"
"18-29 years","Baldwin","958","0","10"
"30-39 years","Baldwin","256","1","9"
"40-49 years","Baldwin","284","2","24"
"50-59 years","Baldwin","291","8","35"
"60-69 years","Baldwin","238","14","40"
"70-79 years","Baldwin","145","18","33"
"80 & Older years","Baldwin","96","24","22"
"<1 years","Baldwin","5","0","0"
"01-04 years","Banks","5","0","0"
"05-09 years","Banks","7","0","0"
"10-17 years","Banks","44","0","0"
"18-29 years","Banks","104","0","3"
"30-39 years","Banks","76","0","1"
"40-49 years","Banks","83","0","10"
"50-59 years","Banks","87","0","8"
"60-69 years","Banks","83","1","16"
"70-79 years","Banks","56","4","22"
"80 & Older years","Banks","48","4","17"
"<1 years","Banks","2","0","0"
"Unknown years","Banks","12","0","1"
"01-04 years","Barrow","32","0","0"
"05-09 years","Barrow","48","0","0"
"10-17 years","Barrow","170","0","2"
"18-29 years","Barrow","620","1","23"
"30-39 years","Barrow","475","0","24"
"40-49 years","Barrow","495","3","39"
"50-59 years","Barrow","390","2","47"
"60-69 years","Barrow","266","10","60"
"70-79 years","Barrow","157","14","45"
"80 & Older years","Barrow","100","25","42"
"<1 years","Barrow","12","0","2"
"Unknown years","Barrow","10","0","0"
"01-04 years","Bartow","31","0","1"
"05-09 years","Bartow","64","0","1"
"10-17 years","Bartow","323","0","2"
"18-29 years","Bartow","791","0","9"
"30-39 years","Bartow","621","2","24"
"40-49 years","Bartow","616","0","34"
"50-59 years","Bartow","631","6","70"
"60-69 years","Bartow","370","15","69"
"70-79 years","Bartow","258","29","73"
"80 & Older years","Bartow","167","44","60"
"<1 years","Bartow","15","0","1"
"Unknown years","Bartow","14","0","3"
"01-04 years","Ben Hill","21","0","1"
"05-09 years","Ben Hill","16","0","0"
"10-17 years","Ben Hill","54","0","0"
"18-29 years","Ben Hill","147","0","4"
"30-39 years","Ben Hill","146","2","5"
"40-49 years","Ben Hill","114","0","5"
"50-59 years","Ben Hill","143","2","19"
"60-69 years","Ben Hill","131","9","19"
"70-79 years","Ben Hill","93","13","33"
"80 & Older years","Ben Hill","33","8","8"
"<1 years","Ben Hill","2","0","0"
"Unknown years","Ben Hill","2","0","0"
"01-04 years","Berrien","10","0","0"
"05-09 years","Berrien","10","0","0"
"10-17 years","Berrien","31","0","0"
"18-29 years","Berrien","103","0","0"
"30-39 years","Berrien","81","0","0"
"40-49 years","Berrien","72","0","1"
"50-59 years","Berrien","79","0","10"
"60-69 years","Berrien","55","2","6"
"70-79 years","Berrien","37","5","4"
"80 & Older years","Berrien","30","8","6"
"<1 years","Berrien","1","0","0"
"Unknown years","Berrien","1","0","0"
"01-04 years","Bibb","81","0","2"
"05-09 years","Bibb","102","0","0"
"10-17 years","Bibb","301","0","6"
"18-29 years","Bibb","1636","1","54"
"30-39 years","Bibb","1105","4","64"
"40-49 years","Bibb","1052","10","118"
"50-59 years","Bibb","965","12","143"
"60-69 years","Bibb","799","44","224"
"70-79 years","Bibb","465","59","166"
"80 & Older years","Bibb","314","80","142"
"<1 years","Bibb","27","0","4"
"Unknown years","Bibb","7","0","0"
"01-04 years","Bleckley","2","0","0"
"05-09 years","Bleckley","5","0","0"
"10-17 years","Bleckley","37","0","0"
"18-29 years","Bleckley","136","0","3"
"30-39 years","Bleckley","57","0","1"
"40-49 years","Bleckley","64","1","1"
"50-59 years","Bleckley","68","2","3"
"60-69 years","Bleckley","48","7","9"
"70-79 years","Bleckley","47","2","10"
"80 & Older years","Bleckley","58","16","8"
"<1 years","Bleckley","1","0","0"
"01-04 years","Brantley","10","0","0"
"05-09 years","Brantley","5","0","0"
"10-17 years","Brantley","37","0","1"
"18-29 years","Brantley","93","0","1"
"30-39 years","Brantley","61","0","3"
"40-49 years","Brantley","70","0","4"
"50-59 years","Brantley","85","1","10"
"60-69 years","Brantley","64","2","8"
"70-79 years","Brantley","37","5","9"
"80 & Older years","Brantley","29","5","7"
"<1 years","Brantley","1","0","0"
"01-04 years","Brooks","13","0","0"
"05-09 years","Brooks","10","0","0"
"10-17 years","Brooks","45","0","0"
"18-29 years","Brooks","110","0","0"
"30-39 years","Brooks","81","0","2"
"40-49 years","Brooks","65","0","8"
"50-59 years","Brooks","83","2","13"
"60-69 years","Brooks","61","6","11"
"70-79 years","Brooks","49","9","15"
"80 & Older years","Brooks","35","9","5"
"<1 years","Brooks","2","0","0"
"01-04 years","Bryan","19","0","0"
"05-09 years","Bryan","25","0","0"
"10-17 years","Bryan","94","0","0"
"18-29 years","Bryan","277","0","8"
"30-39 years","Bryan","234","1","7"
"40-49 years","Bryan","234","0","11"
"50-59 years","Bryan","193","3","17"
"60-69 years","Bryan","128","4","20"
"70-79 years","Bryan","82","5","26"
"80 & Older years","Bryan","43","3","9"
"<1 years","Bryan","5","0","0"
"Unknown years","Bryan","3","0","0"
"01-04 years","Bulloch","36","0","0"
"05-09 years","Bulloch","44","0","0"
"10-17 years","Bulloch","160","0","2"
"18-29 years","Bulloch","1651","0","7"
"30-39 years","Bulloch","348","2","17"
"40-49 years","Bulloch","287","2","20"
"50-59 years","Bulloch","277","1","21"
"60-69 years","Bulloch","185","12","34"
"70-79 years","Bulloch","99","10","26"
"80 & Older years","Bulloch","65","6","21"
"<1 years","Bulloch","13","0","1"
"Unknown years","Bulloch","8","0","0"
"01-04 years","Burke","12","0","0"
"05-09 years","Burke","23","0","0"
"10-17 years","Burke","67","0","1"
"18-29 years","Burke","184","0","4"
"30-39 years","Burke","146","0","4"
"40-49 years","Burke","145","1","7"
"50-59 years","Burke","146","1","22"
"60-69 years","Burke","109","4","26"
"70-79 years","Burke","69","2","19"
"80 & Older years","Burke","21","4","9"
"<1 years","Burke","4","0","0"
"Unknown years","Burke","2","0","0"
"01-04 years","Butts","7","0","0"
"05-09 years","Butts","9","0","0"
"10-17 years","Butts","36","0","1"
"18-29 years","Butts","138","0","2"
"30-39 years","Butts","138","0","7"
"40-49 years","Butts","121","2","9"
"50-59 years","Butts","113","3","14"
"60-69 years","Butts","90","7","15"
"70-79 years","Butts","62","10","8"
"80 & Older years","Butts","69","22","4"
"<1 years","Butts","3","0","0"
"01-04 years","Calhoun","1","0","0"
"10-17 years","Calhoun","10","0","0"
"18-29 years","Calhoun","39","0","4"
"30-39 years","Calhoun","43","2","5"
"40-49 years","Calhoun","58","0","6"
"50-59 years","Calhoun","50","2","9"
"60-69 years","Calhoun","46","2","15"
"70-79 years","Calhoun","21","2","7"
"80 & Older years","Calhoun","9","2","5"
"<1 years","Calhoun","1","0","0"
"01-04 years","Camden","21","0","0"
"05-09 years","Camden","17","0","0"
"10-17 years","Camden","90","0","0"
"18-29 years","Camden","410","0","3"
"30-39 years","Camden","244","0","10"
"40-49 years","Camden","194","1","10"
"50-59 years","Camden","236","1","12"
