"measure","county","symptom date","cases","deaths","cases_cum","death_cum","moving_avg_cases","moving_avg_deaths"
"state_total","Georgia","2020-02-01","7","0","7","0","0","0"
"state_total","Georgia","2020-02-02","4","0","11","0","0","0"
"state_total","Georgia","2020-02-03","2","0","13","0","0","0"
"state_total","Georgia","2020-02-04","0","0","13","0","0","0"
"state_total","Georgia","2020-02-05","0","0","13","0","0","0"
"state_total","Georgia","2020-02-06","2","0","15","0","0","0"
"state_total","Georgia","2020-02-07","1","0","16","0","2.28571428571428","0"
"state_total","Georgia","2020-02-08","1","0","17","0","1.42857142857142","0"
"state_total","Georgia","2020-02-09","0","0","17","0","0.85714285714285","0"
"state_total","Georgia","2020-02-10","5","0","22","0","1.28571428571428","0"
"state_total","Georgia","2020-02-11","2","0","24","0","1.57142857142857","0"
"state_total","Georgia","2020-02-12","0","0","24","0","1.57142857142857","0"
"state_total","Georgia","2020-02-13","1","0","25","0","1.42857142857142","0"
"state_total","Georgia","2020-02-14","5","0","30","0","2","0"
"state_total","Georgia","2020-02-15","2","0","32","0","2.14285714285714","0"
"state_total","Georgia","2020-02-16","0","0","32","0","2.14285714285714","0"
"state_total","Georgia","2020-02-17","2","0","34","0","1.71428571428571","0"
"state_total","Georgia","2020-02-18","3","0","37","0","1.85714285714285","0"
"state_total","Georgia","2020-02-19","6","0","43","0","2.71428571428571","0"
"state_total","Georgia","2020-02-20","6","0","49","0","3.42857142857142","0"
"state_total","Georgia","2020-02-21","6","0","55","0","3.57142857142857","0"
"state_total","Georgia","2020-02-22","7","0","62","0","4.28571428571428","0"
"state_total","Georgia","2020-02-23","9","0","71","0","5.57142857142857","0"
"state_total","Georgia","2020-02-24","11","0","82","0","6.85714285714285","0"
"state_total","Georgia","2020-02-25","12","0","94","0","8.14285714285714","0"
"state_total","Georgia","2020-02-26","13","0","107","0","9.14285714285714","0"
"state_total","Georgia","2020-02-27","14","0","121","0","10.2857142857142","0"
"state_total","Georgia","2020-02-28","18","0","139","0","12","0"
"state_total","Georgia","2020-02-29","15","0","154","0","13.1428571428571","0"
"state_total","Georgia","2020-03-01","86","0","240","0","24.1428571428571","0"
"state_total","Georgia","2020-03-02","43","0","283","0","28.7142857142857","0"
"state_total","Georgia","2020-03-03","42","0","325","0","33","0"
"state_total","Georgia","2020-03-04","57","0","382","0","39.2857142857142","0"
"state_total","Georgia","2020-03-05","49","1","431","1","44.2857142857142","0.14285714285714"
"state_total","Georgia","2020-03-06","67","0","498","1","51.2857142857142","0.14285714285714"
"state_total","Georgia","2020-03-07","66","0","564","1","58.5714285714285","0.14285714285714"
"state_total","Georgia","2020-03-08","82","0","646","1","58","0.14285714285714"
"state_total","Georgia","2020-03-09","134","0","780","1","71","0.14285714285714"
"state_total","Georgia","2020-03-10","179","0","959","1","90.5714285714285","0.14285714285714"
"state_total","Georgia","2020-03-11","170","0","1129","1","106.714285714285","0.14285714285714"
"state_total","Georgia","2020-03-12","203","1","1332","2","128.714285714285","0.14285714285714"
"state_total","Georgia","2020-03-13","278","0","1610","2","158.857142857142","0.14285714285714"
"state_total","Georgia","2020-03-14","234","2","1844","4","182.857142857142","0.42857142857142"
"state_total","Georgia","2020-03-15","304","4","2148","8","214.571428571428","1"
"state_total","Georgia","2020-03-16","427","2","2575","10","256.428571428571","1.28571428571428"
"state_total","Georgia","2020-03-17","395","2","2970","12","287.285714285714","1.57142857142857"
"state_total","Georgia","2020-03-18","450","9","3420","21","327.285714285714","2.85714285714285"
"state_total","Georgia","2020-03-19","415","5","3835","26","357.571428571428","3.42857142857142"
"state_total","Georgia","2020-03-20","488","6","4323","32","387.571428571428","4.28571428571428"
"state_total","Georgia","2020-03-21","330","18","4653","50","401.285714285714","6.57142857142857"
"state_total","Georgia","2020-03-22","351","9","5004","59","408","7.28571428571428"
"state_total","Georgia","2020-03-23","603","10","5607","69","433.142857142857","8.42857142857143"
"state_total","Georgia","2020-03-24","532","16","6139","85","452.714285714285","10.4285714285714"
"state_total","Georgia","2020-03-25","570","19","6709","104","469.857142857142","11.8571428571428"
"state_total","Georgia","2020-03-26","502","14","7211","118","482.285714285714","13.1428571428571"
"state_total","Georgia","2020-03-27","507","15","7718","133","485","14.4285714285714"
"state_total","Georgia","2020-03-28","436","22","8154","155","500.142857142857","15"
"state_total","Georgia","2020-03-29","363","29","8517","184","501.857142857142","17.8571428571428"
