"","ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"1","China","Anhui Province",991,0,0,6,985,"2020-19MAY"
"18","China","Beijing Municipality",593,6,164,9,578,"2020-19MAY"
"38","China","Chongqing Municipality",579,0,1,6,573,"2020-19MAY"
"78","China","Fujian Province",356,0,3,1,355,"2020-19MAY"
"87","China","Gansu province",139,0,0,2,137,"2020-19MAY"
"102","China","Guangdong Province",1590,3,11,8,1579,"2020-19MAY"
"126","China","Guangxi Zhuang Autonomous Region",254,0,0,2,252,"2020-19MAY"
"141","China","Guizhou Province",147,0,0,2,145,"2020-19MAY"
"150","China","Hainan Province",169,1,0,6,162,"2020-19MAY"
"169","China","Hebei Province",328,0,0,6,322,"2020-19MAY"
"180","China","Heilongjiang Province",945,0,394,13,932,"2020-19MAY"
"193","China","Henan Province",1276,0,0,22,1254,"2020-19MAY"
"213","China","Hong Kong Special Administrative Region",1055,26,47,4,1025,"2020-19MAY"
"214","China","Hubei Province",68135,7,0,4512,63616,"2020-19MAY"
"232","China","Hunan Province",1019,0,0,4,1015,"2020-19MAY"
"246","China","Inner Mongolia Autonomous Region",216,19,34,1,196,"2020-19MAY"
"259","China","Jiangsu Province",653,0,3,0,653,"2020-19MAY"
"272","China","Jiangxi Province",937,0,0,1,936,"2020-19MAY"
"284","China","Jilin Province",151,26,19,2,123,"2020-19MAY"
"295","China","Liaoning Province",149,3,0,2,144,"2020-19MAY"
"309","China","Macao Special Administrative Region",45,0,9,0,45,"2020-19MAY"
"310","China","Ningxia Hui Autonomous Region",75,0,0,0,75,"2020-19MAY"
"317","China","Qinghai Province",18,0,0,0,18,"2020-19MAY"
"325","China","Shaanxi Province",308,2,1,3,303,"2020-19MAY"
"337","China","Shandong Province",788,1,14,7,780,"2020-19MAY"
"354","China","Shanghai Municipality",666,17,300,7,642,"2020-19MAY"
"373","China","Shanxi Province",198,0,64,0,198,"2020-19MAY"
"384","China","Sichuan Province",561,0,13,3,558,"2020-19MAY"
"405","China","Taiwan Province",440,32,348,7,401,"2020-19MAY"
"406","China","Tianjin Municipality",192,2,48,3,187,"2020-19MAY"
"423","China","Tibet Autonomous Region",1,0,0,0,1,"2020-19MAY"
"430","China","Xinjiang Uygur Autonomous Region",76,0,0,3,73,"2020-19MAY"
"453","China","Yunnan Province",185,0,0,2,183,"2020-19MAY"
"469","China","Zhejiang Province",1268,0,3,1,1267,"2020-19MAY"
