"ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Anhui Province",991,0,0,6,985,"2020-09-14"
"China","Beijing Municipality",935,0,164,9,926,"2020-09-14"
"China","Chongqing Municipality",584,1,1,6,577,"2020-09-14"
"China","Fujian Province",390,13,3,1,376,"2020-09-14"
"China","Gansu province",170,0,0,2,168,"2020-09-14"
"China","Guangdong Province",1778,19,14,8,1751,"2020-09-14"
"China","Guangxi Zhuang Autonomous Region",258,3,0,2,253,"2020-09-14"
"China","Guizhou Province",147,0,0,2,145,"2020-09-14"
"China","Hainan Province",171,0,0,6,165,"2020-09-14"
"China","Hebei Province",365,3,0,6,356,"2020-09-14"
"China","Heilongjiang Province",948,0,394,13,935,"2020-09-14"
"China","Henan Province",1277,1,0,22,1254,"2020-09-14"
"China","Hong Kong Special Administrative Region",4971,235,131,101,4635,"2020-09-14"
"China","Hubei Province",68139,0,0,4512,63627,"2020-09-14"
"China","Hunan Province",1019,0,0,4,1015,"2020-09-14"
"China","Inner Mongolia Autonomous Region",261,1,34,1,259,"2020-09-14"
"China","Jiangsu Province",665,2,3,0,663,"2020-09-14"
"China","Jiangxi Province",935,0,0,1,934,"2020-09-14"
"China","Jilin Province",157,0,19,2,155,"2020-09-14"
"China","Liaoning Province",264,1,0,2,261,"2020-09-14"
"China","Macao Special Administrative Region",46,0,9,0,46,"2020-09-14"
"China","Ningxia Hui Autonomous Region",75,0,0,0,75,"2020-09-14"
"China","Qinghai Province",18,0,0,0,18,"2020-09-14"
"China","Shaanxi Province",381,9,1,3,369,"2020-09-14"
"China","Shandong Province",831,11,14,7,813,"2020-09-14"
"China","Shanghai Municipality",947,43,393,7,897,"2020-09-14"
"China","Shanxi Province",203,1,64,0,202,"2020-09-14"
"China","Sichuan Province",665,17,14,3,645,"2020-09-14"
"China","Taiwan Province",499,16,407,7,476,"2020-09-14"
"China","Tianjin Municipality",234,6,50,3,225,"2020-09-14"
"China","Tibet Autonomous Region",1,0,0,0,1,"2020-09-14"
"China","Xinjiang Uygur Autonomous Region",902,0,0,3,899,"2020-09-14"
"China","Yunnan Province",203,7,0,2,194,"2020-09-14"
"China","Zhejiang Province",1280,11,3,1,1268,"2020-09-14"
