"ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Anhui Province",991,0,0,6,985,"2020-04-28"
"China","Beijing Municipality",593,46,164,9,538,"2020-04-28"
"China","Chongqing Municipality",579,0,1,6,573,"2020-04-28"
"China","Fujian Province",355,5,3,1,349,"2020-04-28"
"China","Gansu province",139,0,0,2,137,"2020-04-28"
"China","Guangdong Province",1587,32,11,8,1547,"2020-04-28"
"China","Guangxi Zhuang Autonomous Region",254,0,0,2,252,"2020-04-28"
"China","Guizhou Province",147,0,0,2,145,"2020-04-28"
"China","Hainan Province",168,0,0,6,162,"2020-04-28"
"China","Hebei Province",328,4,0,6,318,"2020-04-28"
"China","Heilongjiang Province",939,340,384,13,586,"2020-04-28"
"China","Henan Province",1276,0,0,22,1254,"2020-04-28"
"China","Hong Kong Special Administrative Region",1037,222,47,4,811,"2020-04-28"
"China","Hubei Province",68128,0,0,4512,63616,"2020-04-28"
"China","Hunan Province",1019,0,0,4,1015,"2020-04-28"
"China","Inner Mongolia Autonomous Region",199,53,34,1,145,"2020-04-28"
"China","Jiangsu Province",653,7,3,0,646,"2020-04-28"
"China","Jiangxi Province",937,0,0,1,936,"2020-04-28"
"China","Jilin Province",110,10,3,1,99,"2020-04-28"
"China","Liaoning Province",146,1,0,2,143,"2020-04-28"
"China","Macao Special Administrative Region",45,13,9,0,32,"2020-04-28"
"China","Ningxia Hui Autonomous Region",75,0,0,0,75,"2020-04-28"
"China","Qinghai Province",18,0,0,0,18,"2020-04-28"
"China","Shaanxi Province",306,50,1,3,253,"2020-04-28"
"China","Shandong Province",787,12,14,7,768,"2020-04-28"
"China","Shanghai Municipality",644,53,300,7,584,"2020-04-28"
"China","Shanxi Province",197,37,18,0,160,"2020-04-28"
"China","Sichuan Province",561,0,13,3,558,"2020-04-28"
"China","Taiwan Province",429,116,343,6,307,"2020-04-28"
"China","Tianjin Municipality",190,5,48,3,182,"2020-04-28"
"China","Tibet Autonomous Region",1,0,0,0,1,"2020-04-28"
"China","Xinjiang Uygur Autonomous Region",76,0,0,3,73,"2020-04-28"
"China","Yunnan Province",185,2,0,2,181,"2020-04-28"
"China","Zhejiang Province",1268,6,3,1,1261,"2020-04-28"
