"ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Anhui Province",990,0,0,6,984,"2020-03-23"
"China","Beijing Municipality",537,128,0,8,401,"2020-03-23"
"China","Chongqing Municipality",578,2,1,6,570,"2020-03-23"
"China","Fujian Province",313,17,0,1,295,"2020-03-23"
"China","Gansu province",136,20,0,2,114,"2020-03-23"
"China","Guangdong Province",1415,75,0,8,1332,"2020-03-23"
"China","Guangxi Zhuang Autonomous Region",254,2,0,2,250,"2020-03-23"
"China","Guizhou Province",146,0,0,2,144,"2020-03-23"
"China","Hainan Province",168,1,0,6,161,"2020-03-23"
"China","Hebei Province",319,3,0,6,310,"2020-03-23"
"China","Heilongjiang Province",484,3,0,13,468,"2020-03-23"
"China","Henan Province",1274,2,0,22,1250,"2020-03-23"
"China","Hong Kong Special Administrative Region",356,252,0,4,100,"2020-03-23"
"China","Hubei Province",67800,4765,0,3153,59882,"2020-03-23"
"China","Hunan Province",1018,0,0,4,1014,"2020-03-23"
"China","Inner Mongolia Autonomous Region",75,0,0,1,74,"2020-03-23"
"China","Jiangsu Province",633,2,0,0,631,"2020-03-23"
"China","Jiangxi Province",936,1,0,1,934,"2020-03-23"
"China","Jilin Province",93,0,0,1,92,"2020-03-23"
"China","Liaoning Province",127,1,0,2,124,"2020-03-23"
"China","Macao Special Administrative Region",24,14,0,0,10,"2020-03-23"
"China","Ningxia Hui Autonomous Region",75,0,0,0,75,"2020-03-23"
"China","Qinghai Province",18,0,0,0,18,"2020-03-23"
"China","Shaanxi Province",248,6,0,3,239,"2020-03-23"
"China","Shandong Province",768,9,0,7,752,"2020-03-23"
"China","Shanghai Municipality",413,80,0,4,329,"2020-03-23"
"China","Shanxi Province",134,1,0,0,133,"2020-03-23"
"China","Sichuan Province",543,4,0,3,536,"2020-03-23"
"China","Taiwan Province",195,165,0,2,28,"2020-03-23"
"China","Tianjin Municipality",141,5,0,3,133,"2020-03-23"
"China","Tibet Autonomous Region",1,0,0,0,1,"2020-03-23"
"China","Xinjiang Uygur Autonomous Region",76,0,0,3,73,"2020-03-23"
"China","Yunnan Province",176,2,0,2,172,"2020-03-23"
"China","Zhejiang Province",1238,16,0,1,1221,"2020-03-23"
