"","ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"1","China","Anhui Province",991,0,0,6,985,"2020-08MAY"
"18","China","Beijing Municipality",593,24,164,9,560,"2020-08MAY"
"38","China","Chongqing Municipality",579,0,1,6,573,"2020-08MAY"
"78","China","Fujian Province",356,1,3,1,354,"2020-08MAY"
"87","China","Gansu province",139,0,0,2,137,"2020-08MAY"
"102","China","Guangdong Province",1589,6,11,8,1575,"2020-08MAY"
"126","China","Guangxi Zhuang Autonomous Region",254,0,0,2,252,"2020-08MAY"
"141","China","Guizhou Province",147,0,0,2,145,"2020-08MAY"
"150","China","Hainan Province",168,0,0,6,162,"2020-08MAY"
"169","China","Hebei Province",328,2,0,6,320,"2020-08MAY"
"180","China","Heilongjiang Province",944,116,394,13,815,"2020-08MAY"
"193","China","Henan Province",1276,0,0,22,1254,"2020-08MAY"
"213","China","Hong Kong Special Administrative Region",1044,80,47,4,960,"2020-08MAY"
"214","China","Hubei Province",68128,0,0,4512,63616,"2020-08MAY"
"232","China","Hunan Province",1019,0,0,4,1015,"2020-08MAY"
"246","China","Inner Mongolia Autonomous Region",201,28,34,1,172,"2020-08MAY"
"259","China","Jiangsu Province",653,1,3,0,652,"2020-08MAY"
"272","China","Jiangxi Province",937,0,0,1,936,"2020-08MAY"
"284","China","Jilin Province",113,8,19,1,104,"2020-08MAY"
"295","China","Liaoning Province",146,0,0,2,144,"2020-08MAY"
"309","China","Macao Special Administrative Region",45,5,9,0,40,"2020-08MAY"
"310","China","Ningxia Hui Autonomous Region",75,0,0,0,75,"2020-08MAY"
"317","China","Qinghai Province",18,0,0,0,18,"2020-08MAY"
"325","China","Shaanxi Province",308,37,1,3,268,"2020-08MAY"
"337","China","Shandong Province",788,5,14,7,776,"2020-08MAY"
"354","China","Shanghai Municipality",657,27,300,7,623,"2020-08MAY"
"373","China","Shanxi Province",198,3,64,0,195,"2020-08MAY"
"384","China","Sichuan Province",561,0,13,3,558,"2020-08MAY"
"405","China","Taiwan Province",440,79,348,6,355,"2020-08MAY"
"406","China","Tianjin Municipality",191,2,48,3,186,"2020-08MAY"
"423","China","Tibet Autonomous Region",1,0,0,0,1,"2020-08MAY"
"430","China","Xinjiang Uygur Autonomous Region",76,0,0,3,73,"2020-08MAY"
"453","China","Yunnan Province",185,1,0,2,182,"2020-08MAY"
"469","China","Zhejiang Province",1268,0,3,1,1267,"2020-08MAY"
