"ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Anhui Province",991,0,0,6,985,"2020-05-17"
"China","Beijing Municipality",593,7,164,9,577,"2020-05-17"
"China","Chongqing Municipality",579,0,1,6,573,"2020-05-17"
"China","Fujian Province",356,0,3,1,355,"2020-05-17"
"China","Gansu province",139,0,0,2,137,"2020-05-17"
"China","Guangdong Province",1590,3,11,8,1579,"2020-05-17"
"China","Guangxi Zhuang Autonomous Region",254,0,0,2,252,"2020-05-17"
"China","Guizhou Province",147,0,0,2,145,"2020-05-17"
"China","Hainan Province",169,1,0,6,162,"2020-05-17"
"China","Hebei Province",328,1,0,6,321,"2020-05-17"
"China","Heilongjiang Province",945,0,394,13,932,"2020-05-17"
"China","Henan Province",1276,0,0,22,1254,"2020-05-17"
"China","Hong Kong Special Administrative Region",1055,27,47,4,1024,"2020-05-17"
"China","Hubei Province",68134,6,0,4512,63616,"2020-05-17"
"China","Hunan Province",1019,0,0,4,1015,"2020-05-17"
"China","Inner Mongolia Autonomous Region",209,12,34,1,196,"2020-05-17"
"China","Jiangsu Province",653,0,3,0,653,"2020-05-17"
"China","Jiangxi Province",937,0,0,1,936,"2020-05-17"
"China","Jilin Province",144,29,19,2,113,"2020-05-17"
"China","Liaoning Province",149,3,0,2,144,"2020-05-17"
"China","Macao Special Administrative Region",45,1,9,0,44,"2020-05-17"
"China","Ningxia Hui Autonomous Region",75,0,0,0,75,"2020-05-17"
"China","Qinghai Province",18,0,0,0,18,"2020-05-17"
"China","Shaanxi Province",308,4,1,3,301,"2020-05-17"
"China","Shandong Province",788,1,14,7,780,"2020-05-17"
"China","Shanghai Municipality",665,17,300,7,641,"2020-05-17"
"China","Shanxi Province",198,0,64,0,198,"2020-05-17"
"China","Sichuan Province",561,0,13,3,558,"2020-05-17"
"China","Taiwan Province",440,38,348,7,395,"2020-05-17"
"China","Tianjin Municipality",192,2,48,3,187,"2020-05-17"
"China","Tibet Autonomous Region",1,0,0,0,1,"2020-05-17"
"China","Xinjiang Uygur Autonomous Region",76,0,0,3,73,"2020-05-17"
"China","Yunnan Province",185,0,0,2,183,"2020-05-17"
"China","Zhejiang Province",1268,0,3,1,1267,"2020-05-17"
