"ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Anhui Province",991,0,0,6,985,"2020-05-09"
"China","Beijing Municipality",593,21,164,9,563,"2020-05-09"
"China","Chongqing Municipality",579,0,1,6,573,"2020-05-09"
"China","Fujian Province",356,1,3,1,354,"2020-05-09"
"China","Gansu province",139,0,0,2,137,"2020-05-09"
"China","Guangdong Province",1589,5,11,8,1576,"2020-05-09"
"China","Guangxi Zhuang Autonomous Region",254,0,0,2,252,"2020-05-09"
"China","Guizhou Province",147,0,0,2,145,"2020-05-09"
"China","Hainan Province",168,0,0,6,162,"2020-05-09"
"China","Hebei Province",328,2,0,6,320,"2020-05-09"
"China","Heilongjiang Province",944,96,394,13,835,"2020-05-09"
"China","Henan Province",1276,0,0,22,1254,"2020-05-09"
"China","Hong Kong Special Administrative Region",1044,73,47,4,967,"2020-05-09"
"China","Hubei Province",68128,0,0,4512,63616,"2020-05-09"
"China","Hunan Province",1019,0,0,4,1015,"2020-05-09"
"China","Inner Mongolia Autonomous Region",201,25,34,1,175,"2020-05-09"
"China","Jiangsu Province",653,1,3,0,652,"2020-05-09"
"China","Jiangxi Province",937,0,0,1,936,"2020-05-09"
"China","Jilin Province",113,7,19,1,105,"2020-05-09"
"China","Liaoning Province",146,0,0,2,144,"2020-05-09"
"China","Macao Special Administrative Region",45,5,9,0,40,"2020-05-09"
"China","Ningxia Hui Autonomous Region",75,0,0,0,75,"2020-05-09"
"China","Qinghai Province",18,0,0,0,18,"2020-05-09"
"China","Shaanxi Province",308,13,1,3,292,"2020-05-09"
"China","Shandong Province",788,5,14,7,776,"2020-05-09"
"China","Shanghai Municipality",657,24,300,7,626,"2020-05-09"
"China","Shanxi Province",198,2,64,0,196,"2020-05-09"
"China","Sichuan Province",561,0,13,3,558,"2020-05-09"
"China","Taiwan Province",440,73,348,6,361,"2020-05-09"
"China","Tianjin Municipality",191,2,48,3,186,"2020-05-09"
"China","Tibet Autonomous Region",1,0,0,0,1,"2020-05-09"
"China","Xinjiang Uygur Autonomous Region",76,0,0,3,73,"2020-05-09"
"China","Yunnan Province",185,1,0,2,182,"2020-05-09"
"China","Zhejiang Province",1268,0,3,1,1267,"2020-05-09"
