"ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Anhui Province",237,0,0,0,3,"2020-01-31"
"China","Beijing Municipality",139,0,0,1,5,"2020-01-31"
"China","Chongqing Municipality",211,0,0,0,1,"2020-01-31"
"China","Fujian Province",120,0,0,0,0,"2020-01-31"
"China","Gansu province",29,0,0,0,0,"2020-01-31"
"China","Guangdong Province",436,0,0,0,11,"2020-01-31"
"China","Guangxi Zhuang Autonomous Region",87,0,0,0,2,"2020-01-31"
"China","Guizhou Province",29,0,0,0,2,"2020-01-31"
"China","Hainan Province",52,0,0,1,1,"2020-01-31"
"China","Hebei Province",82,0,0,1,0,"2020-01-31"
"China","Heilongjiang Province",59,0,0,2,0,"2020-01-31"
"China","Henan Province",352,0,0,2,3,"2020-01-31"
"China","Hong Kong Special Administrative Region",12,0,0,0,0,"2020-01-31"
"China","Hubei Province",5806,0,0,204,141,"2020-01-31"
"China","Hunan Province",332,0,0,0,2,"2020-01-31"
"China","Inner Mongolia Autonomous Region",20,0,0,0,1,"2020-01-31"
"China","Jiangsu Province",168,0,0,0,5,"2020-01-31"
"China","Jiangxi Province",240,0,0,0,7,"2020-01-31"
"China","Jilin Province",14,0,0,0,1,"2020-01-31"
"China","Liaoning Province",48,0,0,0,1,"2020-01-31"
"China","Macao Special Administrative Region",7,0,0,0,0,"2020-01-31"
"China","Ningxia Hui Autonomous Region",21,0,0,0,0,"2020-01-31"
"China","Qinghai Province",8,0,0,0,0,"2020-01-31"
"China","Shaanxi Province",87,0,0,0,0,"2020-01-31"
"China","Shandong Province",184,0,0,0,2,"2020-01-31"
"China","Shanghai Municipality",135,0,0,1,9,"2020-01-31"
"China","Shanxi Province",39,0,0,0,1,"2020-01-31"
"China","Sichuan Province",177,0,0,1,1,"2020-01-31"
"China","Taiwan Province",10,0,0,0,0,"2020-01-31"
"China","Tianjin Municipality",32,0,0,0,0,"2020-01-31"
"China","Tibet Autonomous Region",1,0,0,0,0,"2020-01-31"
"China","Xinjiang Uygur Autonomous Region",17,0,0,0,0,"2020-01-31"
"China","Yunnan Province",83,0,0,0,1,"2020-01-31"
"China","Zhejiang Province",538,0,0,0,14,"2020-01-31"
