"ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Anhui Province",665,0,0,0,47,"2020-02-06"
"China","Beijing Municipality",297,0,0,1,33,"2020-02-06"
"China","Chongqing Municipality",415,0,0,2,31,"2020-02-06"
"China","Fujian Province",224,0,0,0,20,"2020-02-06"
"China","Gansu province",67,0,0,0,9,"2020-02-06"
"China","Guangdong Province",1034,0,0,1,88,"2020-02-06"
"China","Guangxi Zhuang Autonomous Region",172,0,0,0,17,"2020-02-06"
"China","Guizhou Province",81,0,0,1,6,"2020-02-06"
"China","Hainan Province",117,0,0,2,10,"2020-02-06"
"China","Hebei Province",172,0,0,1,22,"2020-02-06"
"China","Heilongjiang Province",277,0,0,3,12,"2020-02-06"
"China","Henan Province",914,0,0,3,86,"2020-02-06"
"China","Hong Kong Special Administrative Region",25,0,0,1,0,"2020-02-06"
"China","Hubei Province",22112,0,0,618,867,"2020-02-06"
"China","Hunan Province",772,0,0,0,112,"2020-02-06"
"China","Inner Mongolia Autonomous Region",50,0,0,0,5,"2020-02-06"
"China","Jiangsu Province",408,0,0,0,43,"2020-02-06"
"China","Jiangxi Province",661,0,0,0,45,"2020-02-06"
"China","Jilin Province",65,0,0,1,4,"2020-02-06"
"China","Liaoning Province",99,0,0,0,7,"2020-02-06"
"China","Macao Special Administrative Region",10,0,0,0,1,"2020-02-06"
"China","Ningxia Hui Autonomous Region",43,0,0,0,5,"2020-02-06"
"China","Qinghai Province",18,0,0,0,3,"2020-02-06"
"China","Shaanxi Province",184,0,0,0,17,"2020-02-06"
"China","Shandong Province",386,0,0,0,37,"2020-02-06"
"China","Shanghai Municipality",277,0,166,1,30,"2020-02-06"
"China","Shanxi Province",96,0,0,0,15,"2020-02-06"
"China","Sichuan Province",344,0,0,1,42,"2020-02-06"
"China","Taiwan Province",16,0,0,0,1,"2020-02-06"
"China","Tianjin Municipality",81,0,0,1,2,"2020-02-06"
"China","Tibet Autonomous Region",1,0,0,0,0,"2020-02-06"
"China","Xinjiang Uygur Autonomous Region",39,0,0,0,0,"2020-02-06"
"China","Yunnan Province",136,0,0,0,13,"2020-02-06"
"China","Zhejiang Province",1006,0,0,0,123,"2020-02-06"
