"ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Anhui Province",991,0,0,6,985,"2020-09-30"
"China","Beijing Municipality",936,1,164,9,926,"2020-09-30"
"China","Chongqing Municipality",584,0,1,6,578,"2020-09-30"
"China","Fujian Province",409,20,3,1,388,"2020-09-30"
"China","Gansu province",170,0,0,2,168,"2020-09-30"
"China","Guangdong Province",1827,23,14,8,1796,"2020-09-30"
"China","Guangxi Zhuang Autonomous Region",259,3,0,2,254,"2020-09-30"
"China","Guizhou Province",147,0,0,2,145,"2020-09-30"
"China","Hainan Province",171,0,0,6,165,"2020-09-30"
"China","Hebei Province",365,1,0,6,358,"2020-09-30"
"China","Heilongjiang Province",948,0,394,13,935,"2020-09-30"
"China","Henan Province",1281,5,0,22,1254,"2020-09-30"
"China","Hong Kong Special Administrative Region",5087,155,147,105,4827,"2020-09-30"
"China","Hubei Province",68139,0,0,4512,63627,"2020-09-30"
"China","Hunan Province",1019,0,0,4,1015,"2020-09-30"
"China","Inner Mongolia Autonomous Region",266,6,34,1,259,"2020-09-30"
"China","Jiangsu Province",666,2,3,0,664,"2020-09-30"
"China","Jiangxi Province",935,0,0,1,934,"2020-09-30"
"China","Jilin Province",157,0,19,2,155,"2020-09-30"
"China","Liaoning Province",271,6,0,2,263,"2020-09-30"
"China","Macao Special Administrative Region",46,0,9,0,46,"2020-09-30"
"China","Ningxia Hui Autonomous Region",75,0,0,0,75,"2020-09-30"
"China","Qinghai Province",18,0,0,0,18,"2020-09-30"
"China","Shaanxi Province",408,24,1,3,381,"2020-09-30"
"China","Shandong Province",832,2,14,7,823,"2020-09-30"
"China","Shanghai Municipality",999,50,393,7,942,"2020-09-30"
"China","Shanxi Province",204,1,64,0,203,"2020-09-30"
"China","Sichuan Province",692,29,14,3,660,"2020-09-30"
"China","Taiwan Province",513,24,417,7,482,"2020-09-30"
"China","Tianjin Municipality",240,4,50,3,233,"2020-09-30"
"China","Tibet Autonomous Region",1,0,0,0,1,"2020-09-30"
"China","Xinjiang Uygur Autonomous Region",902,0,0,3,899,"2020-09-30"
"China","Yunnan Province",209,10,0,2,197,"2020-09-30"
"China","Zhejiang Province",1282,9,3,1,1272,"2020-09-30"
