"ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Anhui Province",990,0,0,6,984,"2020-03-13"
"China","Beijing Municipality",436,86,0,8,342,"2020-03-13"
"China","Chongqing Municipality",576,4,0,6,566,"2020-03-13"
"China","Fujian Province",296,0,0,1,295,"2020-03-13"
"China","Gansu province",127,37,0,2,88,"2020-03-13"
"China","Guangdong Province",1356,49,0,8,1299,"2020-03-13"
"China","Guangxi Zhuang Autonomous Region",252,7,0,2,243,"2020-03-13"
"China","Guizhou Province",146,1,0,2,143,"2020-03-13"
"China","Hainan Province",168,2,0,6,160,"2020-03-13"
"China","Hebei Province",318,2,0,6,310,"2020-03-13"
"China","Heilongjiang Province",482,22,0,13,447,"2020-03-13"
"China","Henan Province",1273,2,0,22,1249,"2020-03-13"
"China","Hong Kong Special Administrative Region",134,53,0,4,77,"2020-03-13"
"China","Hubei Province",67786,13171,0,3062,51553,"2020-03-13"
"China","Hunan Province",1018,5,0,4,1009,"2020-03-13"
"China","Inner Mongolia Autonomous Region",75,3,0,1,71,"2020-03-13"
"China","Jiangsu Province",631,1,0,0,630,"2020-03-13"
"China","Jiangxi Province",935,0,0,1,934,"2020-03-13"
"China","Jilin Province",93,1,0,1,91,"2020-03-13"
"China","Liaoning Province",125,11,0,1,113,"2020-03-13"
"China","Macao Special Administrative Region",10,0,0,0,10,"2020-03-13"
"China","Ningxia Hui Autonomous Region",75,3,0,0,72,"2020-03-13"
"China","Qinghai Province",18,0,0,0,18,"2020-03-13"
"China","Shaanxi Province",245,11,0,2,232,"2020-03-13"
"China","Shandong Province",760,13,0,7,740,"2020-03-13"
"China","Shanghai Municipality",346,19,0,3,324,"2020-03-13"
"China","Shanxi Province",133,0,0,0,133,"2020-03-13"
"China","Sichuan Province",539,26,0,3,510,"2020-03-13"
"China","Taiwan Province",50,29,0,1,20,"2020-03-13"
"China","Tianjin Municipality",136,1,0,3,132,"2020-03-13"
"China","Tibet Autonomous Region",1,0,0,0,1,"2020-03-13"
"China","Xinjiang Uygur Autonomous Region",76,0,0,3,73,"2020-03-13"
"China","Yunnan Province",174,2,0,2,170,"2020-03-13"
"China","Zhejiang Province",1215,17,0,1,1197,"2020-03-13"
