"ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Anhui Province",991,0,0,6,985,"2020-09-16"
"China","Beijing Municipality",935,0,164,9,926,"2020-09-16"
"China","Chongqing Municipality",584,1,1,6,577,"2020-09-16"
"China","Fujian Province",392,14,3,1,377,"2020-09-16"
"China","Gansu province",170,0,0,2,168,"2020-09-16"
"China","Guangdong Province",1783,18,14,8,1757,"2020-09-16"
"China","Guangxi Zhuang Autonomous Region",258,3,0,2,253,"2020-09-16"
"China","Guizhou Province",147,0,0,2,145,"2020-09-16"
"China","Hainan Province",171,0,0,6,165,"2020-09-16"
"China","Hebei Province",365,3,0,6,356,"2020-09-16"
"China","Heilongjiang Province",948,0,394,13,935,"2020-09-16"
"China","Henan Province",1277,1,0,22,1254,"2020-09-16"
"China","Hong Kong Special Administrative Region",4984,219,135,102,4663,"2020-09-16"
"China","Hubei Province",68139,0,0,4512,63627,"2020-09-16"
"China","Hunan Province",1019,0,0,4,1015,"2020-09-16"
"China","Inner Mongolia Autonomous Region",261,1,34,1,259,"2020-09-16"
"China","Jiangsu Province",665,2,3,0,663,"2020-09-16"
"China","Jiangxi Province",935,0,0,1,934,"2020-09-16"
"China","Jilin Province",157,0,19,2,155,"2020-09-16"
"China","Liaoning Province",264,0,0,2,262,"2020-09-16"
"China","Macao Special Administrative Region",46,0,9,0,46,"2020-09-16"
"China","Ningxia Hui Autonomous Region",75,0,0,0,75,"2020-09-16"
"China","Qinghai Province",18,0,0,0,18,"2020-09-16"
"China","Shaanxi Province",382,9,1,3,370,"2020-09-16"
"China","Shandong Province",831,11,14,7,813,"2020-09-16"
"China","Shanghai Municipality",950,39,393,7,904,"2020-09-16"
"China","Shanxi Province",203,1,64,0,202,"2020-09-16"
"China","Sichuan Province",670,17,14,3,650,"2020-09-16"
"China","Taiwan Province",500,16,408,7,477,"2020-09-16"
"China","Tianjin Municipality",234,6,50,3,225,"2020-09-16"
"China","Tibet Autonomous Region",1,0,0,0,1,"2020-09-16"
"China","Xinjiang Uygur Autonomous Region",902,0,0,3,899,"2020-09-16"
"China","Yunnan Province",205,8,0,2,195,"2020-09-16"
"China","Zhejiang Province",1282,9,3,1,1272,"2020-09-16"
