"","ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"1","China","Anhui Province",991,1,0,6,984,"2020-23APR"
"18","China","Beijing Municipality",593,63,164,8,522,"2020-23APR"
"38","China","Chongqing Municipality",579,3,1,6,570,"2020-23APR"
"78","China","Fujian Province",355,12,3,1,342,"2020-23APR"
"87","China","Gansu province",139,0,0,2,137,"2020-23APR"
"102","China","Guangdong Province",1584,58,11,8,1518,"2020-23APR"
"126","China","Guangxi Zhuang Autonomous Region",254,0,0,2,252,"2020-23APR"
"141","China","Guizhou Province",147,0,0,2,145,"2020-23APR"
"150","China","Hainan Province",168,0,0,6,162,"2020-23APR"
"169","China","Hebei Province",328,5,0,6,317,"2020-23APR"
"180","China","Heilongjiang Province",925,425,384,13,487,"2020-23APR"
"193","China","Henan Province",1276,0,0,22,1254,"2020-23APR"
"213","China","Hong Kong Special Administrative Region",1035,332,47,4,699,"2020-23APR"
"214","China","Hubei Province",68128,69,0,4512,63547,"2020-23APR"
"232","China","Hunan Province",1019,0,0,4,1015,"2020-23APR"
"246","China","Inner Mongolia Autonomous Region",194,85,34,1,108,"2020-23APR"
"259","China","Jiangsu Province",653,8,3,0,645,"2020-23APR"
"272","China","Jiangxi Province",937,0,0,1,936,"2020-23APR"
"284","China","Jilin Province",107,8,3,1,98,"2020-23APR"
"295","China","Liaoning Province",146,1,0,2,143,"2020-23APR"
"309","China","Macao Special Administrative Region",45,18,9,0,27,"2020-23APR"
"310","China","Ningxia Hui Autonomous Region",75,0,0,0,75,"2020-23APR"
"317","China","Qinghai Province",18,0,0,0,18,"2020-23APR"
"325","China","Shaanxi Province",279,23,1,3,253,"2020-23APR"
"337","China","Shandong Province",787,14,14,7,766,"2020-23APR"
"354","China","Shanghai Municipality",640,100,300,7,533,"2020-23APR"
"373","China","Shanxi Province",197,55,18,0,142,"2020-23APR"
"384","China","Sichuan Province",561,1,13,3,557,"2020-23APR"
"405","China","Taiwan Province",427,168,343,6,253,"2020-23APR"
"406","China","Tianjin Municipality",189,7,48,3,179,"2020-23APR"
"423","China","Tibet Autonomous Region",1,0,0,0,1,"2020-23APR"
"430","China","Xinjiang Uygur Autonomous Region",76,0,0,3,73,"2020-23APR"
"453","China","Yunnan Province",184,4,0,2,178,"2020-23APR"
"469","China","Zhejiang Province",1268,13,3,1,1254,"2020-23APR"
