"measure","county","symptom date","cases","deaths","cases_cum","death_cum","moving_avg_cases","moving_avg_deaths"
"state_total","Georgia","2020-02-01","7","0","7","0","0","0"
"state_total","Georgia","2020-02-02","4","0","11","0","0","0"
"state_total","Georgia","2020-02-03","2","0","13","0","0","0"
"state_total","Georgia","2020-02-04","0","0","13","0","0","0"
"state_total","Georgia","2020-02-05","0","0","13","0","0","0"
"state_total","Georgia","2020-02-06","2","0","15","0","0","0"
"state_total","Georgia","2020-02-07","1","0","16","0","2.28571428571428","0"
"state_total","Georgia","2020-02-08","1","0","17","0","1.42857142857142","0"
"state_total","Georgia","2020-02-09","0","0","17","0","0.85714285714285","0"
"state_total","Georgia","2020-02-10","5","0","22","0","1.28571428571428","0"
"state_total","Georgia","2020-02-11","1","0","23","0","1.42857142857142","0"
"state_total","Georgia","2020-02-12","0","0","23","0","1.42857142857142","0"
"state_total","Georgia","2020-02-13","1","0","24","0","1.28571428571428","0"
"state_total","Georgia","2020-02-14","5","0","29","0","1.85714285714285","0"
"state_total","Georgia","2020-02-15","2","0","31","0","2","0"
"state_total","Georgia","2020-02-16","0","0","31","0","2","0"
"state_total","Georgia","2020-02-17","2","0","33","0","1.57142857142857","0"
"state_total","Georgia","2020-02-18","3","0","36","0","1.85714285714285","0"
"state_total","Georgia","2020-02-19","6","0","42","0","2.71428571428571","0"
"state_total","Georgia","2020-02-20","6","0","48","0","3.42857142857142","0"
"state_total","Georgia","2020-02-21","6","0","54","0","3.57142857142857","0"
"state_total","Georgia","2020-02-22","8","0","62","0","4.42857142857142","0"
"state_total","Georgia","2020-02-23","9","0","71","0","5.71428571428571","0"
"state_total","Georgia","2020-02-24","10","0","81","0","6.85714285714285","0"
"state_total","Georgia","2020-02-25","12","0","93","0","8.14285714285714","0"
"state_total","Georgia","2020-02-26","13","0","106","0","9.14285714285714","0"
"state_total","Georgia","2020-02-27","13","0","119","0","10.1428571428571","0"
"state_total","Georgia","2020-02-28","19","0","138","0","12","0"
"state_total","Georgia","2020-02-29","15","0","153","0","13","0"
"state_total","Georgia","2020-03-01","87","0","240","0","24.1428571428571","0"
"state_total","Georgia","2020-03-02","43","0","283","0","28.8571428571428","0"
"state_total","Georgia","2020-03-03","42","0","325","0","33.1428571428571","0"
"state_total","Georgia","2020-03-04","57","0","382","0","39.4285714285714","0"
"state_total","Georgia","2020-03-05","49","1","431","1","44.5714285714285","0.14285714285714"
"state_total","Georgia","2020-03-06","69","0","500","1","51.7142857142857","0.14285714285714"
"state_total","Georgia","2020-03-07","67","0","567","1","59.1428571428571","0.14285714285714"
"state_total","Georgia","2020-03-08","82","0","649","1","58.4285714285714","0.14285714285714"
"state_total","Georgia","2020-03-09","136","0","785","1","71.7142857142857","0.14285714285714"
"state_total","Georgia","2020-03-10","181","0","966","1","91.5714285714285","0.14285714285714"
"state_total","Georgia","2020-03-11","171","0","1137","1","107.857142857142","0.14285714285714"
"state_total","Georgia","2020-03-12","203","1","1340","2","129.857142857142","0.14285714285714"
"state_total","Georgia","2020-03-13","279","0","1619","2","159.857142857142","0.14285714285714"
"state_total","Georgia","2020-03-14","234","2","1853","4","183.714285714285","0.42857142857142"
"state_total","Georgia","2020-03-15","306","4","2159","8","215.714285714285","1"
"state_total","Georgia","2020-03-16","428","2","2587","10","257.428571428571","1.28571428571428"
"state_total","Georgia","2020-03-17","394","2","2981","12","287.857142857142","1.57142857142857"
"state_total","Georgia","2020-03-18","448","9","3429","21","327.428571428571","2.85714285714285"
"state_total","Georgia","2020-03-19","414","5","3843","26","357.571428571428","3.42857142857142"
"state_total","Georgia","2020-03-20","491","6","4334","32","387.857142857142","4.28571428571428"
"state_total","Georgia","2020-03-21","334","18","4668","50","402.142857142857","6.57142857142857"
"state_total","Georgia","2020-03-22","351","9","5019","59","408.571428571428","7.28571428571428"
"state_total","Georgia","2020-03-23","603","10","5622","69","433.571428571428","8.42857142857143"
"state_total","Georgia","2020-03-24","531","16","6153","85","453.142857142857","10.4285714285714"
"state_total","Georgia","2020-03-25","570","19","6723","104","470.571428571428","11.8571428571428"
"state_total","Georgia","2020-03-26","501","14","7224","118","483","13.1428571428571"
"state_total","Georgia","2020-03-27","507","15","7731","133","485.285714285714","14.4285714285714"
"state_total","Georgia","2020-03-28","436","21","8167","154","499.857142857142","14.8571428571428"
"state_total","Georgia","2020-03-29","363","29","8530","183","501.571428571428","17.7142857142857"
