"age group","county name","cases","deaths","confirmed_case_hospitalization"
"01-04 years","Georgia","42854","6","590"
"05-09 years","Georgia","74091","5","432"
"10-17 years","Georgia","182461","19","1550"
"18-29 years","Georgia","411222","259","7925"
"30-39 years","Georgia","323179","669","9721"
"40-49 years","Georgia","290661","1482","12997"
"50-59 years","Georgia","259350","3573","18960"
"60-69 years","Georgia","170770","6432","21521"
"70-79 years","Georgia","94082","8312","19677"
"80 & Older years","Georgia","49518","9586","14496"
"<1 years","Georgia","14266","2","644"
"Unknown years","Georgia","5366","0","299"
"01-04 years","Appling","76","0","0"
"05-09 years","Appling","125","0","0"
"10-17 years","Appling","414","0","3"
"18-29 years","Appling","632","1","8"
"30-39 years","Appling","493","4","10"
"40-49 years","Appling","482","9","30"
"50-59 years","Appling","483","12","45"
"60-69 years","Appling","400","23","74"
"70-79 years","Appling","274","25","54"
"80 & Older years","Appling","136","33","43"
"<1 years","Appling","15","0","0"
"Unknown years","Appling","5","0","0"
"01-04 years","Atkinson","36","1","3"
"05-09 years","Atkinson","74","0","1"
"10-17 years","Atkinson","187","0","2"
"18-29 years","Atkinson","316","0","17"
"30-39 years","Atkinson","238","0","15"
"40-49 years","Atkinson","223","4","36"
"50-59 years","Atkinson","212","5","38"
"60-69 years","Atkinson","145","8","47"
"70-79 years","Atkinson","78","10","31"
"80 & Older years","Atkinson","35","11","20"
"<1 years","Atkinson","11","0","1"
"01-04 years","Bacon","55","0","1"
"05-09 years","Bacon","77","0","0"
"10-17 years","Bacon","230","0","1"
"18-29 years","Bacon","634","0","11"
"30-39 years","Bacon","372","1","13"
"40-49 years","Bacon","378","5","24"
"50-59 years","Bacon","288","4","29"
"60-69 years","Bacon","244","19","51"
"70-79 years","Bacon","164","16","48"
"80 & Older years","Bacon","77","16","25"
"<1 years","Bacon","18","0","0"
"Unknown years","Bacon","1","0","0"
"01-04 years","Baker","12","0","0"
"05-09 years","Baker","21","0","0"
"10-17 years","Baker","22","0","0"
"18-29 years","Baker","56","0","0"
"30-39 years","Baker","35","0","4"
"40-49 years","Baker","36","3","3"
"50-59 years","Baker","40","0","4"
"60-69 years","Baker","46","3","17"
"70-79 years","Baker","24","3","11"
"80 & Older years","Baker","16","4","6"
"<1 years","Baker","3","0","0"
"Unknown years","Baker","3","0","0"
"01-04 years","Baldwin","116","0","2"
"05-09 years","Baldwin","248","0","0"
"10-17 years","Baldwin","563","1","5"
"18-29 years","Baldwin","2019","0","22"
"30-39 years","Baldwin","1031","2","21"
"40-49 years","Baldwin","970","6","46"
"50-59 years","Baldwin","921","23","83"
"60-69 years","Baldwin","712","44","96"
"70-79 years","Baldwin","434","50","74"
"80 & Older years","Baldwin","237","65","78"
"<1 years","Baldwin","38","0","3"
"Unknown years","Baldwin","2","0","0"
"01-04 years","Banks","47","0","2"
"05-09 years","Banks","90","0","1"
"10-17 years","Banks","249","0","5"
