"age group","county name","cases","deaths","hospitalization"
"01-04 years","Georgia","5064","1","101"
"05-09 years","Georgia","7689","1","75"
"10-17 years","Georgia","27966","5","332"
"18-29 years","Georgia","106998","64","2368"
"30-39 years","Georgia","71376","144","3116"
"40-49 years","Georgia","68177","339","4506"
"50-59 years","Georgia","63676","822","6366"
"60-69 years","Georgia","42944","1772","7294"
"70-79 years","Georgia","24911","2464","6414"
"80 & Older years","Georgia","15581","3310","5064"
"<1 years","Georgia","1513","0","89"
"Unknown years","Georgia","2405","0","58"
"01-04 years","Appling","15","0","0"
"05-09 years","Appling","36","0","0"
"10-17 years","Appling","104","0","1"
"18-29 years","Appling","234","1","4"
"30-39 years","Appling","181","1","5"
"40-49 years","Appling","173","2","13"
"50-59 years","Appling","194","5","16"
"60-69 years","Appling","154","9","30"
"70-79 years","Appling","103","12","23"
"80 & Older years","Appling","45","10","15"
"<1 years","Appling","3","0","0"
"Unknown years","Appling","9","0","0"
"01-04 years","Atkinson","3","0","1"
"05-09 years","Atkinson","11","0","1"
"10-17 years","Atkinson","27","0","0"
"18-29 years","Atkinson","118","0","7"
"30-39 years","Atkinson","88","0","6"
"40-49 years","Atkinson","93","0","11"
"50-59 years","Atkinson","92","1","15"
"60-69 years","Atkinson","59","4","17"
"70-79 years","Atkinson","32","2","9"
"80 & Older years","Atkinson","9","2","6"
"<1 years","Atkinson","2","0","0"
"Unknown years","Atkinson","2","0","0"
"01-04 years","Bacon","11","0","0"
"05-09 years","Bacon","13","0","0"
"10-17 years","Bacon","42","0","0"
"18-29 years","Bacon","172","0","1"
"30-39 years","Bacon","86","0","3"
"40-49 years","Bacon","113","1","7"
"50-59 years","Bacon","103","2","13"
"60-69 years","Bacon","62","7","14"
"70-79 years","Bacon","39","4","8"
"80 & Older years","Bacon","21","6","6"
"<1 years","Bacon","4","0","0"
"Unknown years","Bacon","1","0","0"
"01-04 years","Baker","4","0","0"
"05-09 years","Baker","4","0","0"
"10-17 years","Baker","5","0","0"
"18-29 years","Baker","17","0","0"
"30-39 years","Baker","12","0","2"
"40-49 years","Baker","10","0","1"
"50-59 years","Baker","16","0","1"
"60-69 years","Baker","20","2","6"
"70-79 years","Baker","14","2","8"
"80 & Older years","Baker","6","2","3"
"01-04 years","Baldwin","15","0","0"
"05-09 years","Baldwin","31","0","0"
"10-17 years","Baldwin","104","0","2"
"18-29 years","Baldwin","992","0","12"
"30-39 years","Baldwin","274","1","10"
"40-49 years","Baldwin","298","2","25"
"50-59 years","Baldwin","321","8","35"
"60-69 years","Baldwin","256","14","44"
"70-79 years","Baldwin","159","18","33"
"80 & Older years","Baldwin","99","26","25"
"<1 years","Baldwin","6","0","0"
"Unknown years","Baldwin","1","0","0"
"01-04 years","Banks","6","0","0"
"05-09 years","Banks","11","0","0"
"10-17 years","Banks","62","0","0"
"18-29 years","Banks","139","0","4"
"30-39 years","Banks","102","0","1"
"40-49 years","Banks","108","0","10"
"50-59 years","Banks","124","0","14"
"60-69 years","Banks","105","3","18"
"70-79 years","Banks","80","4","30"
"80 & Older years","Banks","54","5","19"
"<1 years","Banks","3","0","0"
"Unknown years","Banks","17","0","1"
"01-04 years","Barrow","35","0","0"
"05-09 years","Barrow","56","0","0"
"10-17 years","Barrow","213","0","2"
"18-29 years","Barrow","746","1","26"
"30-39 years","Barrow","580","0","28"
"40-49 years","Barrow","592","3","41"
"50-59 years","Barrow","505","2","53"
"60-69 years","Barrow","337","13","71"
"70-79 years","Barrow","187","14","48"
"80 & Older years","Barrow","107","25","44"
"<1 years","Barrow","13","0","2"
"Unknown years","Barrow","11","0","0"
"01-04 years","Bartow","39","0","1"
"05-09 years","Bartow","75","0","1"
"10-17 years","Bartow","391","0","2"
"18-29 years","Bartow","935","0","10"
"30-39 years","Bartow","734","2","24"
"40-49 years","Bartow","758","0","38"
"50-59 years","Bartow","768","7","75"
"60-69 years","Bartow","455","16","77"
"70-79 years","Bartow","323","32","80"
"80 & Older years","Bartow","200","45","64"
"<1 years","Bartow","16","0","1"
"Unknown years","Bartow","14","0","3"
"01-04 years","Ben Hill","21","0","1"
"05-09 years","Ben Hill","17","0","0"
"10-17 years","Ben Hill","60","0","0"
"18-29 years","Ben Hill","159","0","4"
"30-39 years","Ben Hill","152","2","5"
"40-49 years","Ben Hill","120","0","6"
"50-59 years","Ben Hill","156","2","20"
"60-69 years","Ben Hill","139","9","20"
"70-79 years","Ben Hill","97","14","33"
"80 & Older years","Ben Hill","37","8","8"
"<1 years","Ben Hill","2","0","0"
"Unknown years","Ben Hill","10","0","0"
"01-04 years","Berrien","12","0","0"
"05-09 years","Berrien","12","0","0"
"10-17 years","Berrien","38","0","0"
"18-29 years","Berrien","116","0","0"
"30-39 years","Berrien","101","0","0"
"40-49 years","Berrien","89","0","2"
"50-59 years","Berrien","97","1","11"
"60-69 years","Berrien","66","4","6"
"70-79 years","Berrien","46","5","5"
"80 & Older years","Berrien","32","8","6"
"<1 years","Berrien","1","0","0"
"Unknown years","Berrien","1","0","0"
"01-04 years","Bibb","85","0","2"
"05-09 years","Bibb","112","0","0"
"10-17 years","Bibb","338","0","6"
"18-29 years","Bibb","1769","1","54"
"30-39 years","Bibb","1246","4","67"
"40-49 years","Bibb","1186","10","125"
"50-59 years","Bibb","1078","12","152"
"60-69 years","Bibb","874","47","243"
"70-79 years","Bibb","507","63","174"
"80 & Older years","Bibb","332","86","152"
"<1 years","Bibb","28","0","4"
"Unknown years","Bibb","7","0","0"
"01-04 years","Bleckley","2","0","0"
"05-09 years","Bleckley","5","0","0"
"10-17 years","Bleckley","38","0","0"
"18-29 years","Bleckley","146","0","3"
"30-39 years","Bleckley","59","0","1"
"40-49 years","Bleckley","69","1","1"
"50-59 years","Bleckley","73","2","3"
"60-69 years","Bleckley","54","7","9"
"70-79 years","Bleckley","47","3","10"
"80 & Older years","Bleckley","58","17","9"
"<1 years","Bleckley","1","0","0"
