"age group","county name","cases","deaths","hospitalization"
"01-04 years","Georgia","22937","3","378"
"05-09 years","Georgia","43091","5","301"
"10-17 years","Georgia","120372","14","1145"
"18-29 years","Georgia","272025","207","5612"
"30-39 years","Georgia","206524","513","7468"
"40-49 years","Georgia","191433","1191","10465"
"50-59 years","Georgia","174011","2844","15243"
"60-69 years","Georgia","116771","5140","17238"
"70-79 years","Georgia","66214","6675","15672"
"80 & Older years","Georgia","36588","7917","11565"
"<1 years","Georgia","6309","0","341"
"Unknown years","Georgia","3987","0","164"
"01-04 years","Appling","56","0","0"
"05-09 years","Appling","91","0","0"
"10-17 years","Appling","332","0","3"
"18-29 years","Appling","491","1","7"
"30-39 years","Appling","362","2","10"
"40-49 years","Appling","373","8","27"
"50-59 years","Appling","395","11","39"
"60-69 years","Appling","330","21","66"
"70-79 years","Appling","220","24","44"
"80 & Older years","Appling","112","27","40"
"<1 years","Appling","8","0","0"
"01-04 years","Atkinson","20","0","1"
"05-09 years","Atkinson","46","0","1"
"10-17 years","Atkinson","117","0","1"
"18-29 years","Atkinson","245","0","15"
"30-39 years","Atkinson","182","0","14"
"40-49 years","Atkinson","187","4","33"
"50-59 years","Atkinson","181","5","35"
"60-69 years","Atkinson","113","7","35"
"70-79 years","Atkinson","61","7","24"
"80 & Older years","Atkinson","20","7","14"
"<1 years","Atkinson","3","0","0"
"01-04 years","Bacon","39","0","0"
"05-09 years","Bacon","55","0","0"
"10-17 years","Bacon","161","0","1"
"18-29 years","Bacon","508","0","8"
"30-39 years","Bacon","272","1","9"
"40-49 years","Bacon","270","4","20"
"50-59 years","Bacon","207","3","20"
"60-69 years","Bacon","194","17","44"
"70-79 years","Bacon","119","13","32"
"80 & Older years","Bacon","53","12","18"
"<1 years","Bacon","10","0","0"
"Unknown years","Bacon","1","0","0"
"01-04 years","Baker","10","0","0"
"05-09 years","Baker","11","0","0"
"10-17 years","Baker","13","0","0"
"18-29 years","Baker","43","0","0"
"30-39 years","Baker","27","0","4"
"40-49 years","Baker","28","3","3"
"50-59 years","Baker","34","0","4"
"60-69 years","Baker","39","3","16"
"70-79 years","Baker","20","3","11"
"80 & Older years","Baker","14","4","6"
"<1 years","Baker","2","0","0"
"01-04 years","Baldwin","66","0","0"
"05-09 years","Baldwin","138","0","0"
"10-17 years","Baldwin","400","1","6"
"18-29 years","Baldwin","1577","0","18"
"30-39 years","Baldwin","685","2","20"
"40-49 years","Baldwin","675","5","41"
"50-59 years","Baldwin","656","19","72"
"60-69 years","Baldwin","511","37","87"
"70-79 years","Baldwin","312","39","69"
"80 & Older years","Baldwin","194","61","72"
"<1 years","Baldwin","26","0","1"
"Unknown years","Baldwin","1","0","0"
"01-04 years","Banks","22","0","1"
"05-09 years","Banks","61","0","1"
"10-17 years","Banks","190","0","5"
"18-29 years","Banks","449","0","18"
"30-39 years","Banks","334","0","15"
"40-49 years","Banks","345","3","25"
"50-59 years","Banks","352","4","36"
"60-69 years","Banks","296","14","63"
"70-79 years","Banks","207","22","74"
"80 & Older years","Banks","100","14","34"
"<1 years","Banks","13","0","2"
"Unknown years","Banks","22","0","1"
"01-04 years","Barrow","202","0","2"
"05-09 years","Barrow","413","0","0"
"10-17 years","Barrow","1307","1","12"
"18-29 years","Barrow","2512","2","57"
"30-39 years","Barrow","2237","2","75"
"40-49 years","Barrow","2207","10","112"
"50-59 years","Barrow","1817","18","160"
"60-69 years","Barrow","1228","47","191"
"70-79 years","Barrow","678","49","129"
"80 & Older years","Barrow","302","58","107"
"<1 years","Barrow","59","0","4"
"Unknown years","Barrow","17","0","2"
"01-04 years","Bartow","241","0","7"
"05-09 years","Bartow","414","0","3"
"10-17 years","Bartow","1465","0","16"
"18-29 years","Bartow","2886","0","35"
"30-39 years","Bartow","2374","6","60"
"40-49 years","Bartow","2396","8","105"
"50-59 years","Bartow","2433","30","201"
"60-69 years","Bartow","1524","70","201"
"70-79 years","Bartow","1019","100","229"
"80 & Older years","Bartow","477","87","139"
"<1 years","Bartow","81","0","6"
"Unknown years","Bartow","70","0","6"
"01-04 years","Ben Hill","37","0","1"
"05-09 years","Ben Hill","31","0","0"
"10-17 years","Ben Hill","149","0","0"
"18-29 years","Ben Hill","355","0","4"
"30-39 years","Ben Hill","266","3","12"
"40-49 years","Ben Hill","257","2","14"
"50-59 years","Ben Hill","275","8","34"
"60-69 years","Ben Hill","237","16","35"
"70-79 years","Ben Hill","159","20","56"
"80 & Older years","Ben Hill","76","19","21"
"<1 years","Ben Hill","9","0","2"
"Unknown years","Ben Hill","1","0","0"
"01-04 years","Berrien","37","0","0"
"05-09 years","Berrien","43","0","0"
"10-17 years","Berrien","146","0","1"
"18-29 years","Berrien","282","0","0"
"30-39 years","Berrien","246","0","3"
"40-49 years","Berrien","193","0","6"
"50-59 years","Berrien","216","5","19"
"60-69 years","Berrien","172","11","25"
"70-79 years","Berrien","120","16","20"
"80 & Older years","Berrien","61","14","15"
"<1 years","Berrien","9","0","0"
"Unknown years","Berrien","1","0","0"
"01-04 years","Bibb","308","0","7"
"05-09 years","Bibb","532","0","0"
"10-17 years","Bibb","1567","0","13"
"18-29 years","Bibb","4504","4","119"
"30-39 years","Bibb","3316","9","170"
"40-49 years","Bibb","3045","28","283"
"50-59 years","Bibb","2752","55","380"
"60-69 years","Bibb","2121","126","521"
"70-79 years","Bibb","1191","156","435"
"80 & Older years","Bibb","717","181","356"
"<1 years","Bibb","83","0","6"
"Unknown years","Bibb","7","0","0"
"01-04 years","Bleckley","17","0","0"
"05-09 years","Bleckley","38","0","0"
"10-17 years","Bleckley","116","0","0"
"18-29 years","Bleckley","250","0","5"
"30-39 years","Bleckley","146","1","5"
"40-49 years","Bleckley","138","1","2"
"50-59 years","Bleckley","143","4","8"
"60-69 years","Bleckley","107","8","14"
"70-79 years","Bleckley","75","6","14"
"80 & Older years","Bleckley","62","18","13"
"<1 years","Bleckley","3","0","0"
"01-04 years","Brantley","35","0","0"
"05-09 years","Brantley","63","0","0"
"10-17 years","Brantley","204","0","1"
"18-29 years","Brantley","345","0","5"
"30-39 years","Brantley","269","2","7"
"40-49 years","Brantley","258","3","20"
"50-59 years","Brantley","298","17","33"
"60-69 years","Brantley","206","15","32"
"70-79 years","Brantley","140","23","42"
"80 & Older years","Brantley","60","13","16"
"<1 years","Brantley","3","0","0"
"01-04 years","Brooks","25","0","1"
"05-09 years","Brooks","49","0","0"
"10-17 years","Brooks","121","0","0"
"18-29 years","Brooks","257","0","4"
"30-39 years","Brooks","194","1","7"
"40-49 years","Brooks","184","2","14"
"50-59 years","Brooks","218","4","28"
"60-69 years","Brooks","137","11","26"
"70-79 years","Brooks","115","15","25"
"80 & Older years","Brooks","72","19","21"
"<1 years","Brooks","11","0","0"
"01-04 years","Bryan","117","0","0"
"05-09 years","Bryan","225","0","2"
"10-17 years","Bryan","593","0","4"
"18-29 years","Bryan","837","0","21"
"30-39 years","Bryan","782","3","26"
"40-49 years","Bryan","789","5","43"
"50-59 years","Bryan","533","7","49"
"60-69 years","Bryan","366","18","53"
"70-79 years","Bryan","216","17","80"
"80 & Older years","Bryan","78","10","31"
"<1 years","Bryan","36","0","1"
"Unknown years","Bryan","19","0","0"
"01-04 years","Bulloch","152","0","1"
"05-09 years","Bulloch","305","0","2"
"10-17 years","Bulloch","869","0","4"
"18-29 years","Bulloch","2954","1","12"
"30-39 years","Bulloch","1048","5","27"
"40-49 years","Bulloch","856","7","30"
"50-59 years","Bulloch","737","17","51"
"60-69 years","Bulloch","527","24","67"
"70-79 years","Bulloch","256","24","55"
"80 & Older years","Bulloch","126","19","41"
"<1 years","Bulloch","59","0","2"
"Unknown years","Bulloch","1","0","0"
"01-04 years","Burke","34","0","0"
"05-09 years","Burke","73","0","0"
"10-17 years","Burke","199","0","1"
"18-29 years","Burke","451","2","10"
"30-39 years","Burke","364","1","15"
"40-49 years","Burke","371","3","22"
"50-59 years","Burke","340","6","39"
"60-69 years","Burke","259","7","47"
"70-79 years","Burke","136","16","39"
"80 & Older years","Burke","47","12","19"
"<1 years","Burke","10","0","0"
"Unknown years","Burke","4","0","0"
"01-04 years","Butts","49","0","3"
"05-09 years","Butts","75","0","0"
"10-17 years","Butts","256","0","5"
"18-29 years","Butts","629","0","8"
"30-39 years","Butts","561","0","9"
"40-49 years","Butts","498","5","21"
"50-59 years","Butts","520","12","43"
"60-69 years","Butts","349","19","45"
"70-79 years","Butts","249","31","41"
"80 & Older years","Butts","142","36","12"
"<1 years","Butts","16","0","2"
"Unknown years","Butts","3","0","0"
"01-04 years","Calhoun","13","0","0"
"05-09 years","Calhoun","13","0","0"
"10-17 years","Calhoun","64","0","1"
"18-29 years","Calhoun","94","0","6"
"30-39 years","Calhoun","82","3","7"
"40-49 years","Calhoun","96","1","11"
"50-59 years","Calhoun","102","4","20"
"60-69 years","Calhoun","87","4","23"
"70-79 years","Calhoun","34","7","11"
"80 & Older years","Calhoun","22","2","10"
"<1 years","Calhoun","5","0","0"
"Unknown years","Calhoun","1","0","0"
"01-04 years","Camden","136","0","0"
"05-09 years","Camden","240","0","2"
"10-17 years","Camden","618","0","1"
"18-29 years","Camden","1300","0","10"
"30-39 years","Camden","1050","3","26"
"40-49 years","Camden","761","9","29"
"50-59 years","Camden","797","10","38"
"60-69 years","Camden","550","22","50"
"70-79 years","Camden","310","11","32"
"80 & Older years","Camden","129","22","28"
"<1 years","Camden","21","0","2"
"Unknown years","Camden","32","0","0"
"01-04 years","Candler","13","0","0"
"05-09 years","Candler","41","0","0"
"10-17 years","Candler","102","0","0"
"18-29 years","Candler","187","0","1"
"30-39 years","Candler","152","0","5"
"40-49 years","Candler","165","4","3"
"50-59 years","Candler","185","13","18"
"60-69 years","Candler","129","9","18"
"70-79 years","Candler","93","15","21"
"80 & Older years","Candler","35","8","15"
"<1 years","Candler","6","0","0"
"01-04 years","Carroll","168","0","1"
"05-09 years","Carroll","292","0","3"
"10-17 years","Carroll","1006","0","6"
"18-29 years","Carroll","2273","1","17"
"30-39 years","Carroll","1524","4","23"
"40-49 years","Carroll","1444","9","45"
"50-59 years","Carroll","1369","14","66"
"60-69 years","Carroll","974","30","96"
"70-79 years","Carroll","546","38","77"
"80 & Older years","Carroll","316","58","49"
"<1 years","Carroll","41","0","2"
"Unknown years","Carroll","14","0","1"
"01-04 years","Catoosa","158","0","0"
"05-09 years","Catoosa","288","0","1"
"10-17 years","Catoosa","869","0","2"
"18-29 years","Catoosa","1534","1","9"
"30-39 years","Catoosa","1230","2","14"
"40-49 years","Catoosa","1308","2","23"
"50-59 years","Catoosa","1168","10","45"
"60-69 years","Catoosa","800","11","68"
"70-79 years","Catoosa","476","22","69"
"80 & Older years","Catoosa","327","40","58"
"<1 years","Catoosa","59","0","1"
"Unknown years","Catoosa","88","0","4"
"01-04 years","Charlton","21","0","0"
"05-09 years","Charlton","45","0","0"
"10-17 years","Charlton","98","0","0"
"18-29 years","Charlton","404","1","3"
