"province","area_type","area_name","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","comment"
"黑龙江省","city","七台河","2",NA,"0","0","0",NA
"海南省","city","万宁","8",NA,"0","0","0",NA
"重庆市","city","万州区","17",NA,"0","0","0",NA
"海南省","city","三亚","14",NA,"0","0","0",NA
"福建省","city","三明","9",NA,"0","0","0",NA
"河南省","city","三门峡","4",NA,"0","0","0",NA
"江西省","city","上饶","9",NA,"0","0","0",NA
"北京市","city","东城","2",NA,"0","0","0",NA
"海南省","city","东方市","1",NA,"0","0","0",NA
"广东省","city","东莞","7",NA,"0","0","0",NA
"重庆市","city","两江新区","8",NA,"0","0","0",NA
"浙江省","city","丽水","6",NA,"0","0","0",NA
"云南省","city","丽江","6",NA,"0","0","0",NA
"宁夏回族自治区","city","中卫","1",NA,"0","0","0",NA
"广东省","city","中山","13",NA,"0","0","0",NA
"北京市","city","丰台","10",NA,"0","0","0",NA
"重庆市","city","丰都县","3",NA,"0","0","0",NA
"甘肃省","city","临夏","2",NA,"0","0","0",NA
"山西省","city","临汾","1",NA,"0","0","0",NA
"山东省","city","临沂","16",NA,"0","0","0",NA
"海南省","city","临高县","1",NA,"0","0","0",NA
"辽宁省","city","丹东","5",NA,"0","0","0",NA
"新疆维吾尔自治区","city","乌鲁木齐","6",NA,"0","0","0",NA
"四川省","city","乐山","2",NA,"0","0","0",NA
"江西省","city","九江","16",NA,"0","0","0",NA
"重庆市","city","九龙坡区","5",NA,"0","0","0",NA
"重庆市","city","云阳县","11",NA,"0","0","0",NA
"安徽省","city","亳州","15",NA,"0","0","1",NA
"湖北省","city","仙桃","32",NA,"0","0","0",NA
"新疆维吾尔自治区","city","伊犁州","4",NA,"0","0","0",NA
"广东省","city","佛山","21",NA,"0","0","0",NA
"黑龙江省","city","佳木斯","5",NA,"0","0","0",NA
"河北省","city","保定","6",NA,"0","0","0",NA
"云南省","city","保山","4",NA,"0","0","0",NA
"河南省","city","信阳","32",NA,"0","0","0",NA
"海南省","city","儋州","5",NA,"0","0","0",NA
"吉林省","city","公主岭","1",NA,"0","0","0",NA
"安徽省","city","六安","6",NA,"0","0","0",NA
"贵州省","city","六盘水","1",NA,"0","0","0",NA
"甘肃省","city","兰州","14",NA,"0","0","0",NA
"内蒙古自治区","city","兴安盟","1",NA,"0","0","0",NA
"四川省","city","内江","4",NA,"0","0","0",NA
"四川省","city","凉山","2",NA,"0","0","0",NA
"内蒙古自治区","city","包头","3",NA,"0","0","0",NA
