"symptom date","cases","deaths","confirmed_case_hospitalization"
"2020-12-15","0","1","0"
"2021-06-02","0","1","0"
"2021-06-10","0","1","0"
"2021-03-12","0","1","0"
"2021-05-09","0","1","0"
"2021-08-25","0","1","0"
"2021-04-13","0","1","0"
"2021-02-01","0","1","0"
"2021-08-23","0","1","0"
"2021-03-31","0","1","0"
"2021-02-23","0","1","0"
"2021-09-04","0","1","0"
"2021-06-08","0","1","0"
"2021-01-28","0","1","0"
"2021-07-04","0","1","0"
"2021-02-15","0","1","0"
"2021-09-21","0","1","0"
"2021-04-04","0","1","0"
"2021-09-01","0","1","0"
"2021-01-21","0","1","0"
"2021-09-14","0","1","0"
"2021-09-19","0","1","0"
"2021-02-26","0","1","0"
"2021-03-07","0","1","0"
"2021-02-06","0","1","0"
"2021-09-20","0","1","0"
"2020-02-01","2","0","0"
"2020-02-02","1","0","0"
"2020-02-02","2","0","0"
"2020-02-03","1","0","0"
"2020-02-03","0","0","1"
"2020-02-10","1","0","0"
"2020-02-11","1","0","0"
"2020-02-13","1","0","0"
"2020-02-13","1","0","0"
"2020-02-15","1","0","0"
"2020-02-17","1","0","0"
"2020-02-19","1","0","0"
"2020-02-19","1","0","0"
"2020-02-19","1","0","0"
"2020-02-21","2","0","1"
"2020-02-21","1","0","0"
"2020-02-23","1","0","0"
"2020-02-23","1","0","0"
"2020-02-25","2","0","0"
"2020-02-25","2","0","0"
"2020-02-26","1","0","1"
"2020-02-26","1","0","0"
"2020-02-26","1","0","0"
"2020-02-28","2","0","0"
"2020-02-29","1","0","0"
"2020-02-29","1","0","0"
"2020-02-29","1","0","0"
"2020-03-01","1","0","0"
"2020-03-01","1","0","0"
"2020-03-01","1","0","0"
"2020-03-01","1","0","0"
"2020-03-01","7","0","0"
"2020-03-01","3","0","1"
"2020-03-01","1","0","0"
"2020-03-02","1","0","0"
"2020-03-03","1","0","0"
"2020-03-03","1","0","0"
"2020-03-03","4","0","0"
"2020-03-03","1","0","0"
"2020-03-04","3","0","0"
"2020-03-04","1","0","0"
"2020-03-04","2","0","0"
"2020-03-05","3","0","0"
"2020-03-05","1","0","0"
"2020-03-05","4","0","0"
"2020-03-05","1","0","1"
"2020-03-06","4","0","0"
"2020-03-06","2","0","0"
"2020-03-06","1","0","0"
"2020-03-06","2","0","0"
"2020-03-07","7","0","0"
"2020-03-07","3","0","1"
"2020-03-07","5","0","0"
"2020-03-08","2","0","1"
"2020-03-08","1","0","0"
"2020-03-08","1","0","0"
"2020-03-08","2","0","0"
"2020-03-08","2","0","0"
"2020-03-09","1","0","0"
"2020-03-09","11","0","0"
"2020-03-09","1","0","0"
"2020-03-09","1","0","0"
"2020-03-09","4","0","1"
"2020-03-09","3","0","0"
"2020-03-09","2","0","0"
"2020-03-09","1","0","0"
"2020-03-10","1","0","0"
"2020-03-10","7","0","2"
"2020-03-10","1","0","0"
"2020-03-10","1","0","0"
"2020-03-10","11","0","0"
"2020-03-10","2","0","0"
"2020-03-10","1","0","0"
"2020-03-11","5","0","2"
"2020-03-11","1","0","0"
"2020-03-11","2","0","0"
"2020-03-11","8","0","2"
"2020-03-11","2","0","1"
"2020-03-11","1","0","0"
"2020-03-11","1","0","0"
"2020-03-12","1","0","0"
"2020-03-12","11","0","0"
"2020-03-12","4","0","0"
"2020-03-12","1","0","0"
"2020-03-12","1","0","0"
"2020-03-12","1","0","0"
"2020-03-12","7","0","2"
"2020-03-12","6","0","0"
"2020-03-12","1","0","0"
"2020-03-12","1","0","0"
"2020-03-13","1","0","0"
"2020-03-13","1","0","0"
"2020-03-13","2","0","0"
"2020-03-13","13","0","0"
"2020-03-13","0","0","1"
"2020-03-13","1","0","0"
"2020-03-13","1","0","0"
"2020-03-13","1","0","0"
"2020-03-13","11","0","2"
"2020-03-13","4","0","0"
"2020-03-13","1","0","0"
"2020-03-13","2","0","0"
"2020-03-13","1","0","0"
"2020-03-13","1","0","0"
"2020-03-13","1","0","0"
"2020-03-13","1","0","0"
"2020-03-14","2","0","0"
"2020-03-14","10","0","1"
"2020-03-14","1","0","1"
"2020-03-14","3","0","0"
"2020-03-14","1","0","0"
"2020-03-14","12","0","0"
"2020-03-14","3","0","0"
"2020-03-14","1","0","0"
"2020-03-14","1","0","0"
"2020-03-14","3","0","0"
"2020-03-15","1","0","0"
"2020-03-15","1","0","0"
"2020-03-15","19","1","5"
"2020-03-15","6","0","0"
"2020-03-15","1","0","0"
"2020-03-15","1","0","0"
"2020-03-15","12","0","1"
"2020-03-15","4","0","0"
"2020-03-15","1","0","0"
"2020-03-15","2","0","0"
"2020-03-16","1","0","0"
"2020-03-16","1","0","0"
"2020-03-16","33","0","4"
"2020-03-16","5","0","1"
"2020-03-16","22","0","1"
"2020-03-16","7","0","0"
"2020-03-16","2","0","0"
"2020-03-16","3","0","0"
"2020-03-16","1","0","0"
"2020-03-17","0","0","1"
"2020-03-17","2","0","0"
"2020-03-17","29","1","1"
"2020-03-17","8","0","0"
"2020-03-17","1","0","0"
"2020-03-17","1","0","0"
"2020-03-17","1","0","0"
"2020-03-17","1","0","0"
"2020-03-17","18","0","0"
"2020-03-17","11","0","0"
"2020-03-17","1","0","0"
"2020-03-17","1","0","0"
